difference_variable,multiplier,multiplier_unit,annual_change,output_variable_name,output_display_name,sum,natural_multiplier_units,display_notes,internal_notes
pop_lvst_buffalo,260.0,$/head,1,cb:lvst:lvst_value:livestock_produced:buffalo,Value of livestock (buffalo) ,0,$260/head,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatï¿½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",revised 6/21/23
pop_lvst_cattle_dairy,260.0,$/head,1,cb:lvst:lvst_value:livestock_produced:cattle_dairy,Value of livestock (cattle - dairy) ,0,$260/head,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatï¿½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",revised 6/21/23
pop_lvst_cattle_nondairy,260.0,$/head,1,cb:lvst:lvst_value:livestock_produced:cattle_nondairy,Value of livestock (cattle - nondairy) ,0,$260/head,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatï¿½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",revised 6/21/23
pop_lvst_chickens,2.6,$/head,1,cb:lvst:lvst_value:livestock_produced:chickens,Value of livestock (chickens) ,0,$2.6/head,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatï¿½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",revised 6/21/23
pop_lvst_goats,26.0,$/head,1,cb:lvst:lvst_value:livestock_produced:goats,Value of livestock (goats) ,0,$26/head,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatï¿½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",revised 6/21/23
pop_lvst_horses,200.0,$/head,1,cb:lvst:lvst_value:livestock_produced:horses,Value of livestock (horses) ,0,$200/head,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatï¿½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",revised 6/21/23
pop_lvst_mules,200.0,$/head,1,cb:lvst:lvst_value:livestock_produced:mules,Value of livestock (mules) ,0,$200/head,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatï¿½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",revised 6/21/23
pop_lvst_pigs,50.0,$/head,1,cb:lvst:lvst_value:livestock_produced:pigs,Value of livestock (pigs) ,0,$50/head,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatï¿½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",revised 6/21/23
pop_lvst_sheep,26.0,$/head,1,cb:lvst:lvst_value:livestock_produced:sheep,Value of livestock (sheep) ,0,$26/head,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatï¿½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",revised 6/21/23
yield_agrc_bevs_and_spices_tonne,600.0,$/ton,1,cb:agrc:crop_value:crops_produced:bevs_and_spices,Value of crops (bevs and spices),0,$600/ton,"The value per ton of crops and livestock varies by type and is based on producer prices from FAOStatï¿½s food producer prices dataset (FAO, undated), with TLU values (FAO 2023) and average production efficiencies for livestock (Williams and Anderson, 2020).",revised 6/21/23
