strategy_code,future_id,region,time_period,difference_variable,difference_value,variable,value
TORNADO:AGRC:DEC_EXPORTS,0,iran,7,pop_lvst_buffalo,0.0,cb:lvst:lvst_value:livestock_produced:buffalo,0.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,8,pop_lvst_buffalo,0.0,cb:lvst:lvst_value:livestock_produced:buffalo,0.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,9,pop_lvst_buffalo,0.0,cb:lvst:lvst_value:livestock_produced:buffalo,0.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,10,pop_lvst_buffalo,973.0,cb:lvst:lvst_value:livestock_produced:buffalo,252980.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,11,pop_lvst_buffalo,1380.0,cb:lvst:lvst_value:livestock_produced:buffalo,358800.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,12,pop_lvst_buffalo,1787.0,cb:lvst:lvst_value:livestock_produced:buffalo,464620.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,13,pop_lvst_buffalo,2187.0,cb:lvst:lvst_value:livestock_produced:buffalo,568620.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,14,pop_lvst_buffalo,2578.0,cb:lvst:lvst_value:livestock_produced:buffalo,670280.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,15,pop_lvst_buffalo,2955.0,cb:lvst:lvst_value:livestock_produced:buffalo,768300.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,16,pop_lvst_buffalo,3318.0,cb:lvst:lvst_value:livestock_produced:buffalo,862680.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,17,pop_lvst_buffalo,3666.0,cb:lvst:lvst_value:livestock_produced:buffalo,953160.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,18,pop_lvst_buffalo,3996.0,cb:lvst:lvst_value:livestock_produced:buffalo,1038960.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,19,pop_lvst_buffalo,4307.0,cb:lvst:lvst_value:livestock_produced:buffalo,1119820.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,20,pop_lvst_buffalo,4599.0,cb:lvst:lvst_value:livestock_produced:buffalo,1195740.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,21,pop_lvst_buffalo,4869.0,cb:lvst:lvst_value:livestock_produced:buffalo,1265940.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,22,pop_lvst_buffalo,5116.0,cb:lvst:lvst_value:livestock_produced:buffalo,1330160.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,23,pop_lvst_buffalo,5340.0,cb:lvst:lvst_value:livestock_produced:buffalo,1388400.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,24,pop_lvst_buffalo,5537.0,cb:lvst:lvst_value:livestock_produced:buffalo,1439620.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,25,pop_lvst_buffalo,5708.0,cb:lvst:lvst_value:livestock_produced:buffalo,1484080.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,26,pop_lvst_buffalo,5852.0,cb:lvst:lvst_value:livestock_produced:buffalo,1521520.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,27,pop_lvst_buffalo,5967.0,cb:lvst:lvst_value:livestock_produced:buffalo,1551420.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,28,pop_lvst_buffalo,6053.0,cb:lvst:lvst_value:livestock_produced:buffalo,1573780.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,29,pop_lvst_buffalo,6107.0,cb:lvst:lvst_value:livestock_produced:buffalo,1587820.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,30,pop_lvst_buffalo,6130.0,cb:lvst:lvst_value:livestock_produced:buffalo,1593800.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,31,pop_lvst_buffalo,6386.0,cb:lvst:lvst_value:livestock_produced:buffalo,1660360.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,32,pop_lvst_buffalo,6700.0,cb:lvst:lvst_value:livestock_produced:buffalo,1742000.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,33,pop_lvst_buffalo,7065.0,cb:lvst:lvst_value:livestock_produced:buffalo,1836900.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,34,pop_lvst_buffalo,7472.0,cb:lvst:lvst_value:livestock_produced:buffalo,1942720.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,35,pop_lvst_buffalo,7915.0,cb:lvst:lvst_value:livestock_produced:buffalo,2057900.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,7,pop_lvst_cattle_dairy,0.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,0.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,8,pop_lvst_cattle_dairy,0.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,0.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,9,pop_lvst_cattle_dairy,0.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,0.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,10,pop_lvst_cattle_dairy,44152.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,11479520.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,11,pop_lvst_cattle_dairy,62599.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,16275740.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,12,pop_lvst_cattle_dairy,80993.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,21058180.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,13,pop_lvst_cattle_dairy,99103.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,25766780.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,14,pop_lvst_cattle_dairy,116752.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,30355520.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,15,pop_lvst_cattle_dairy,133809.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,34790340.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,16,pop_lvst_cattle_dairy,150194.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,39050440.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,17,pop_lvst_cattle_dairy,165904.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,43135040.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,18,pop_lvst_cattle_dairy,180822.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,47013720.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,19,pop_lvst_cattle_dairy,194869.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,50665940.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,20,pop_lvst_cattle_dairy,208016.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,54084160.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,21,pop_lvst_cattle_dairy,220184.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,57247840.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,22,pop_lvst_cattle_dairy,231327.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,60145020.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,23,pop_lvst_cattle_dairy,241370.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,62756200.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,24,pop_lvst_cattle_dairy,250261.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,65067860.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,25,pop_lvst_cattle_dairy,257930.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,67061800.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,26,pop_lvst_cattle_dairy,264376.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,68737760.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,27,pop_lvst_cattle_dairy,269529.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,70077540.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,28,pop_lvst_cattle_dairy,273326.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,71064760.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,29,pop_lvst_cattle_dairy,275715.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,71685900.0
TORNADO:AGRC:DEC_EXPORTS,0,iran,30,pop_lvst_cattle_dairy,276645.0,cb:lvst:lvst_value:livestock_produced:cattle_dairy,71927700.0
